date,sex,age,ethnicity,population
2024-01-01,both,overall,overall,34058.8
2023-01-01,both,overall,overall,33401.8
2022-01-01,both,overall,overall,32698.1
2021-01-01,both,overall,overall,32576.3
2020-01-01,both,overall,overall,32447.4
2019-01-01,both,overall,overall,32523
2018-01-01,both,overall,overall,32382.3
2017-01-01,both,overall,overall,32022.6
2016-01-01,both,overall,overall,31633.5
2015-01-01,both,overall,overall,31186.1
2014-01-01,both,overall,overall,30708.5
2013-01-01,both,overall,overall,30213.7
2012-01-01,both,overall,overall,29510
2011-01-01,both,overall,overall,29062
2010-01-01,both,overall,overall,28588.6
2009-01-01,both,overall,overall,28081.5
2008-01-01,both,overall,overall,27567.6
2007-01-01,both,overall,overall,27058.4
2006-01-01,both,overall,overall,26549.9
2005-01-01,both,overall,overall,26045.5
2004-01-01,both,overall,overall,25541.5
2003-01-01,both,overall,overall,25038.1
2002-01-01,both,overall,overall,24542.5
2001-01-01,both,overall,overall,24030.5
2000-01-01,both,overall,overall,23494.9
1999-01-01,both,overall,overall,22909.5
1998-01-01,both,overall,overall,22333.5
1997-01-01,both,overall,overall,21769.3
1996-01-01,both,overall,overall,21222.6
1995-01-01,both,overall,overall,20681.8
1994-01-01,both,overall,overall,20141.7
1993-01-01,both,overall,overall,19601.5
1992-01-01,both,overall,overall,19067.5
1991-01-01,both,overall,overall,18547.2
1990-01-01,both,overall,overall,18102.4
1989-01-01,both,overall,overall,17662.1
1988-01-01,both,overall,overall,17219.1
1987-01-01,both,overall,overall,16773.5
1986-01-01,both,overall,overall,16329.4
1985-01-01,both,overall,overall,15882.7
1984-01-01,both,overall,overall,15450.4
1983-01-01,both,overall,overall,15048.2
1982-01-01,both,overall,overall,14651.1
1981-01-01,both,overall,overall,14256.9
1980-01-01,both,overall,overall,13879.3
1979-01-01,both,overall,overall,13518.3
1978-01-01,both,overall,overall,13200.2
1977-01-01,both,overall,overall,12901.1
1976-01-01,both,overall,overall,12588.1
1975-01-01,both,overall,overall,12300.3
1974-01-01,both,overall,overall,12001.3
1973-01-01,both,overall,overall,11719.8
1972-01-01,both,overall,overall,11441.3
1971-01-01,both,overall,overall,11159.7
1970-01-01,both,overall,overall,10881.8
