the_year,population_m,population_f,m_f_ratio
2024,17882.7,16176.1,1.11
2023,17472.3,15929.5,1.1
2022,17039.8,15658.3,1.09
2021,17000.5,15575.8,1.09
2020,16966.2,15481.2,1.1
2019,16764.9,15758.2,1.06
2018,16721.4,15660.8,1.07
2017,16542.7,15479.8,1.07
2016,16346.3,15287.2,1.07
2015,16112.1,15074,1.07
2014,15867.8,14840.7,1.07
2013,15604.8,14608.9,1.07
2012,15215.3,14294.7,1.06
2011,14980,14082,1.06
2010,14730.5,13858.1,1.06
2009,14456.9,13624.6,1.06
2008,14179.1,13388.5,1.06
2007,13903.7,13154.7,1.06
2006,13627.4,12922.4,1.05
2005,13353.3,12692.3,1.05
2004,13078.7,12462.7,1.05
2003,12808.2,12229.8,1.05
2002,12537.1,12005.5,1.04
2001,12257.3,11773.1,1.04
2000,11965.6,11529.3,1.04
1999,11666.6,11242.9,1.04
1998,11372.1,10961.4,1.04
1997,11081.9,10687.3,1.04
1996,10800.3,10422.3,1.04
1995,10521.5,10160.3,1.04
1994,10242.9,9898.8,1.03
1993,9963.4,9638.1,1.03
1992,9686.9,9380.6,1.03
1991,9416.5,9130.7,1.03
1990,9185.3,8917.1,1.03
1989,8956.4,8705.6,1.03
1988,8726,8493.1,1.03
1987,8494.7,8278.7,1.03
1986,8264,8065.4,1.02
1985,8033.2,7849.6,1.02
1984,7810.2,7640.1,1.02
1983,7600.6,7447.6,1.02
1982,7394,7257,1.02
1981,7188.6,7068.3,1.02
1980,6992,6887.2,1.02
1979,6812.5,6705.7,1.02
1978,6655.8,6544.4,1.02
1977,6508.4,6392.7,1.02
1976,6354.5,6233.7,1.02
1975,6213.1,6087.2,1.02
1974,6066.3,5935,1.02
1973,5927.9,5791.9,1.02
1972,5791.5,5649.8,1.03
1971,5653.4,5506.3,1.03
1970,5517,5364.7,1.03
