the_year,current_yr_pop,pre_yr_pop,YOY
2024,34058.8,33401.8,1.97
2023,33401.8,32698.1,2.15
2022,32698.1,32576.3,0.37
2021,32576.3,32447.4,0.4
2020,32447.4,32523,-0.23
2019,32523,32382.3,0.43
2018,32382.3,32022.6,1.12
2017,32022.6,31633.5,1.23
2016,31633.5,31186.1,1.43
2015,31186.1,30708.5,1.56
2014,30708.5,30213.7,1.64
2013,30213.7,29510,2.38
2012,29510,29062,1.54
2011,29062,28588.6,1.66
2010,28588.6,28081.5,1.81
2009,28081.5,27567.6,1.86
2008,27567.6,27058.4,1.88
2007,27058.4,26549.9,1.92
2006,26549.9,26045.5,1.94
2005,26045.5,25541.5,1.97
2004,25541.5,25038.1,2.01
2003,25038.1,24542.5,2.02
2002,24542.5,24030.5,2.13
2001,24030.5,23494.9,2.28
2000,23494.9,22909.5,2.56
1999,22909.5,22333.5,2.58
1998,22333.5,21769.3,2.59
1997,21769.3,21222.6,2.58
1996,21222.6,20681.8,2.61
1995,20681.8,20141.7,2.68
1994,20141.7,19601.5,2.76
1993,19601.5,19067.5,2.8
1992,19067.5,18547.2,2.81
1991,18547.2,18102.4,2.46
1990,18102.4,17662.1,2.49
1989,17662.1,17219.1,2.57
1988,17219.1,16773.5,2.66
1987,16773.5,16329.4,2.72
1986,16329.4,15882.7,2.81
1985,15882.7,15450.4,2.8
1984,15450.4,15048.2,2.67
1983,15048.2,14651.1,2.71
1982,14651.1,14256.9,2.76
1981,14256.9,13879.3,2.72
1980,13879.3,13518.3,2.67
1979,13518.3,13200.2,2.41
1978,13200.2,12901.1,2.32
1977,12901.1,12588.1,2.49
1976,12588.1,12300.3,2.34
1975,12300.3,12001.3,2.49
1974,12001.3,11719.8,2.4
1973,11719.8,11441.3,2.43
1972,11441.3,11159.7,2.52
1971,11159.7,10881.8,2.55
1970,10881.8,NULL,NULL
